VD,Valor Praticado
13406 - EDALICE PERFUMES LTDA ME,97382.5
13408 - LUA BRANCA PERFUMES LTDA ME,46529.63
14056 - ESGN PERFUMES LTDA ME,28693.21
23107 - TIMBAUBA PERFUMES LTDA,25733.3
