Loja,GMV
5253 - SOBRALANA PERFUMES LTDA.,17088.03
6238 - MILLENIUM PERFUMES LTDA ME,6096.18
7136 - MARACATU PERFUMES LTDA ME,5112.00
8374 - EDGAR E ALICE PERFUMES LTDA ME,13872.14
11815 - TEJUCUPAPO PERFUMES LTDA.,7800.82
12988 - GOIANINHA PERFUMES LTDA ME,515.74
13419 - CAAPORA PERFUMES LTDA ME,2133.30
13981 - PIRAUA PERFUMES LTDA - ME,2257.87
